,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Subtipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
303733,2016,21,Puebla,21133,San Martín Totoltepec,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
303831,2016,21,Puebla,21134,San Matías Tlalancaleca,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
303929,2016,21,Puebla,21135,San Miguel Ixitlán,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
304027,2016,21,Puebla,21136,San Miguel Xoxtla,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
304125,2016,21,Puebla,21137,San Nicolás Buenos Aires,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
304223,2016,21,Puebla,21138,San Nicolás de los Ranchos,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
304321,2016,21,Puebla,21139,San Pablo Anicano,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,1,0,0,0,0,0,0,0,0,0
304419,2016,21,Puebla,21140,San Pedro Cholula,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,1,3,1,0,2,3,2,0,2,1,2,2
304517,2016,21,Puebla,21141,San Pedro Yeloixtlahuaca,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,1,0,0,0,0,0,0
304615,2016,21,Puebla,21142,San Salvador el Seco,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,1,0,1,0,0,0,0,0,0,0,0,0
